pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
1018017.0,1018.0,1.0,0.5337511232045606,0.6551942771742302,1,0,1,1,1,1,1,0,0,0,6.0,1,20000.0,32.0,36.0
1018018.0,1018.0,1.0,0.5179569753969937,1.3563863211231633,1,1,1,1,1,1,1,1,0,0,6.0,1,20000.0,34.0,44.0
1020003.0,1020.0,1.0,0.46627810663547065,,0,0,0,1,1,0,0,1,1,1,6.0,1,16000.0,32.0,
1020006.0,1020.0,1.0,0.514823514873088,,0,0,0,1,0,1,1,0,1,1,6.0,1,20000.0,30.0,
1023004.0,1023.0,0.0,0.45879377260111853,0.09796852181865584,1,1,0,1,1,0,0,0,1,0,6.0,1,0.0,28.0,30.0
1023019.0,1023.0,0.0,0.4776319041029789,0.8896580646278205,0,0,0,1,1,0,0,1,1,0,6.0,1,0.0,30.0,40.0
1023026.0,1023.0,0.0,0.441433730138898,,0,0,0,1,1,1,1,0,1,0,6.0,1,0.0,34.0,
1023042.0,1023.0,0.0,0.4025872492489027,-0.09606721409735025,1,1,0,1,0,1,1,1,1,0,6.0,1,0.0,32.0,28.0
1023045.0,1023.0,0.0,0.3050888569573466,0.6668509321513078,1,1,0,1,0,1,1,1,1,0,6.0,1,0.0,32.0,40.0
1023046.0,1023.0,0.0,0.3141523550902657,-0.2936361065767509,0,0,0,1,0,1,1,1,1,0,6.0,1,0.0,30.0,28.0
1023056.0,1023.0,0.0,0.3676323920976417,0.5449224574621871,1,1,0,1,0,1,1,1,1,0,6.0,1,0.0,30.0,38.0
1023068.0,1023.0,0.0,0.28115779923894224,0.16983981590028333,1,1,0,1,0,0,0,1,1,0,6.0,1,0.0,30.0,34.0
1027007.0,1027.0,1.0,0.43889485434490394,0.2610851916494888,1,0,0,1,0,0,1,0,1,0,6.0,1,12000.0,32.0,34.0
1027014.0,1027.0,1.0,0.28263786031180854,0.20021621353705218,1,0,0,1,0,0,1,1,1,0,6.0,1,2000.0,32.0,32.0
1027021.0,1027.0,1.0,0.4867647910660344,1.5350888970664969,0,0,0,1,0,1,0,0,1,0,6.0,1,16000.0,34.0,48.0
1027028.0,1027.0,1.0,0.350391172993386,-0.7929807564840319,1,0,0,1,1,1,0,1,1,0,6.0,1,8000.0,32.0,20.0
1027031.0,1027.0,1.0,0.32670805667283903,0.35393712270453326,0,0,0,1,1,0,0,1,1,0,6.0,1,6000.0,30.0,32.0
1027052.0,1027.0,1.0,0.4445820644727318,-0.7425092734214576,0,0,0,1,0,1,1,1,1,0,6.0,1,14000.0,32.0,24.0
1028002.0,1028.0,0.0,0.5043480075257601,,1,1,0,1,1,0,0,0,0,0,6.0,1,0.0,30.0,
1028003.0,1028.0,0.0,0.3844983566759141,,0,0,0,1,1,1,0,0,0,0,6.0,1,0.0,32.0,
1028026.0,1028.0,0.0,0.2777873604849464,,1,1,0,1,0,0,0,1,0,0,6.0,1,0.0,32.0,
1028032.0,1028.0,0.0,0.35588826574847016,0.7895416812431697,0,0,0,1,0,0,0,1,0,0,6.0,1,0.0,30.0,40.0
1029003.0,1029.0,0.0,0.2744491260362667,0.2402047022108966,1,1,1,1,0,0,0,0,0,0,6.0,1,0.0,30.0,32.0
1029007.0,1029.0,0.0,0.32897175027101755,1.1298120035469323,1,1,1,1,0,1,0,1,0,0,6.0,1,0.0,28.0,42.0
2001027.0,2001.0,0.0,0.45071542204981824,1.6299515833902125,0,0,1,1,0,0,1,0,1,0,6.0,1,0.0,30.0,48.0
2004004.0,2004.0,1.0,0.45024557677755067,,0,0,0,1,1,0,0,0,0,0,6.0,1,14000.0,34.0,
2004008.0,2004.0,1.0,0.3030597016159442,0.3535563531703743,1,1,0,1,1,1,0,1,0,0,6.0,1,4000.0,30.0,34.0
2005003.0,2005.0,1.0,0.35843920771186655,-0.17964294318143106,1,1,0,1,1,0,1,1,0,1,6.0,1,8000.0,32.0,26.0
2005004.0,2005.0,1.0,0.47090061936678346,0.9873311322692286,1,1,0,1,1,0,0,0,0,1,6.0,1,16000.0,32.0,42.0
2005019.0,2005.0,1.0,0.33717410494553846,,0,0,0,1,1,1,1,0,0,1,6.0,1,6000.0,30.0,
2007009.0,2007.0,1.0,0.5121388757417987,,1,0,1,1,0,0,1,1,0,0,6.0,1,18000.0,32.0,
2011012.0,2011.0,1.0,0.30514721577113185,,0,0,1,1,0,1,1,1,1,0,6.0,1,4000.0,30.0,
2011032.0,2011.0,1.0,0.5146241055471757,1.130722481260283,1,1,1,1,1,1,1,1,1,0,6.0,1,20000.0,32.0,42.0
2017034.0,2017.0,0.0,0.5037317304303578,1.3317817639214984,1,1,0,1,1,1,1,1,0,0,6.0,1,0.0,32.0,44.0
2017050.0,2017.0,0.0,0.5281409560697311,0.09931001413307415,0,0,0,1,0,1,1,1,0,0,6.0,1,0.0,34.0,32.0
2017071.0,2017.0,0.0,0.35075472901717875,,0,0,0,1,0,0,1,1,0,0,6.0,1,0.0,28.0,
